compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w10_minus_w5,38,62,4,7,6,6,-0.025298638,-0.036242900,0.788637330,0.813935968,0.573882398,0.610125298
w10_minus_w5,32,40,4,5,0,0,0.015743949,0.034920502,0.914179005,0.898435057,0.745197658,0.710277157
w11_minus_w5,26,34,3,4,2,2,0.050712395,0.034505790,0.453668060,0.402955665,0.156011142,0.121505352
w11_minus_w5,30,62,3,7,6,6,-0.017514476,-0.034308022,0.881371266,0.898885742,0.669929795,0.704237817
w10_minus_w5,10,50,1,6,2,2,-0.123313607,-0.032874492,0.121733015,0.245046621,0.010749036,0.043623527
w11_minus_w5,22,30,2,3,6,6,0.022149083,0.032518972,0.778413319,0.756264236,0.493860110,0.461341138
w11_minus_w5,6,30,0,3,6,6,0.021453001,0.031571941,0.698385626,0.676932625,0.411065364,0.379493423
w11_minus_w5,3,19,0,2,3,3,-0.018601067,-0.030574536,0.851698925,0.870299992,0.668270794,0.698845330
w11_minus_w5,47,55,5,6,7,7,-0.046955301,-0.030131420,0.395284822,0.442240123,0.115616259,0.145747679
w11_minus_w5,46,62,5,7,6,6,-0.015629429,-0.029504718,0.745260168,0.760889596,0.472708686,0.502213404
w11_minus_w5,21,45,2,5,5,5,0.074237627,0.029370909,0.304562509,0.230324882,0.067982000,0.038611091
w10_minus_w5,29,61,3,7,5,5,-0.029661348,-0.029068712,0.573180173,0.602841520,0.252316522,0.281385234
w10_minus_w5,20,36,2,4,4,4,-0.030750437,-0.029053185,0.561283973,0.592034409,0.241203441,0.270256625
w11_minus_w5,40,56,5,7,0,0,-0.018089041,-0.028991255,0.781779788,0.799868829,0.503512635,0.532503890
w10_minus_w5,42,58,5,7,2,2,-0.025004366,-0.028877027,0.610885794,0.635890160,0.292778044,0.321655071
w10_minus_w5,2,50,0,6,2,2,0.164988391,0.028455906,0.200683490,0.035695099,0.029375744,0.000919837
