name,ref_name_formal,ref_name_compact,formal_loc,compact_loc,formal_bel,compact_bel,loc_changed,bel_changed
state_count_reg[14],FDRE,FDRE,SLICE_X40Y39,SLICE_X41Y37,SLICEL.BFF,SLICEL.AFF,True,True
state_count_reg[15],FDRE,FDRE,SLICE_X45Y39,SLICE_X41Y37,SLICEL.AFF,SLICEL.BFF,True,True
state_count_reg[16],FDRE,FDRE,SLICE_X40Y39,SLICE_X39Y37,SLICEL.CFF,SLICEL.BFF,True,True
state_count_reg[16]_i_2,CARRY4,CARRY4,SLICE_X41Y39,SLICE_X40Y37,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[17],FDRE,FDRE,SLICE_X42Y40,SLICE_X41Y38,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[18],FDRE,FDRE,SLICE_X40Y40,SLICE_X39Y38,SLICEL.AFF,SLICEL.AFF,True,False
state_count_reg[19],FDRE,FDRE,SLICE_X40Y40,SLICE_X41Y38,SLICEL.BFF,SLICEL.BFF,True,False
state_count_reg[1],FDRE,FDRE,SLICE_X42Y39,SLICE_X39Y35,SLICEM.CFF,SLICEL.AFF,True,True
state_count_reg[20],FDRE,FDRE,SLICE_X40Y40,SLICE_X39Y38,SLICEL.CFF,SLICEL.BFF,True,True
state_count_reg[20]_i_2,CARRY4,CARRY4,SLICE_X41Y40,SLICE_X40Y38,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[21],FDRE,FDRE,SLICE_X42Y41,SLICE_X41Y40,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[22],FDRE,FDRE,SLICE_X42Y41,SLICE_X41Y39,SLICEM.BFF,SLICEL.AFF,True,True
state_count_reg[23],FDRE,FDRE,SLICE_X42Y41,SLICE_X41Y39,SLICEM.CFF,SLICEL.BFF,True,True
state_count_reg[24],FDRE,FDRE,SLICE_X42Y41,SLICE_X41Y39,SLICEM.DFF,SLICEL.CFF,True,True
state_count_reg[24]_i_2,CARRY4,CARRY4,SLICE_X41Y41,SLICE_X40Y39,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[25],FDRE,FDRE,SLICE_X42Y42,SLICE_X42Y40,SLICEM.AFF,SLICEM.AFF,True,False
state_count_reg[26],FDRE,FDRE,SLICE_X42Y42,SLICE_X41Y40,SLICEM.BFF,SLICEL.BFF,True,True
state_count_reg[27],FDRE,FDRE,SLICE_X42Y42,SLICE_X41Y40,SLICEM.CFF,SLICEL.CFF,True,True
state_count_reg[28],FDRE,FDRE,SLICE_X42Y42,SLICE_X41Y40,SLICEM.DFF,SLICEL.DFF,True,True
state_count_reg[28]_i_2,CARRY4,CARRY4,SLICE_X41Y42,SLICE_X40Y40,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[29],FDRE,FDRE,SLICE_X43Y43,SLICE_X41Y41,SLICEL.AFF,SLICEL.AFF,True,False
state_count_reg[2],FDRE,FDRE,SLICE_X40Y39,SLICE_X39Y35,SLICEL.DFF,SLICEL.BFF,True,True
state_count_reg[30],FDRE,FDRE,SLICE_X44Y43,SLICE_X41Y41,SLICEL.AFF,SLICEL.BFF,True,True
state_count_reg[31],FDRE,FDRE,SLICE_X44Y43,SLICE_X41Y41,SLICEL.BFF,SLICEL.CFF,True,True
state_count_reg[32],FDRE,FDRE,SLICE_X43Y43,SLICE_X41Y41,SLICEL.BFF,SLICEL.DFF,True,True
state_count_reg[32]_i_2,CARRY4,CARRY4,SLICE_X41Y43,SLICE_X40Y41,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[33],FDRE,FDRE,SLICE_X42Y44,SLICE_X41Y42,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[34],FDRE,FDRE,SLICE_X42Y44,SLICE_X41Y42,SLICEM.BFF,SLICEL.BFF,True,True
state_count_reg[35],FDRE,FDRE,SLICE_X42Y44,SLICE_X41Y42,SLICEM.CFF,SLICEL.CFF,True,True
state_count_reg[36],FDRE,FDRE,SLICE_X42Y44,SLICE_X41Y42,SLICEM.DFF,SLICEL.DFF,True,True
state_count_reg[36]_i_2,CARRY4,CARRY4,SLICE_X41Y44,SLICE_X40Y42,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[37],FDRE,FDRE,SLICE_X42Y45,SLICE_X41Y43,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[38],FDRE,FDRE,SLICE_X42Y45,SLICE_X41Y43,SLICEM.BFF,SLICEL.BFF,True,True
state_count_reg[39],FDRE,FDRE,SLICE_X42Y45,SLICE_X41Y43,SLICEM.CFF,SLICEL.CFF,True,True
state_count_reg[3],FDRE,FDRE,SLICE_X40Y38,SLICE_X41Y38,SLICEL.CFF,SLICEL.CFF,True,False
state_count_reg[40],FDRE,FDRE,SLICE_X42Y45,SLICE_X41Y43,SLICEM.DFF,SLICEL.DFF,True,True
state_count_reg[40]_i_2,CARRY4,CARRY4,SLICE_X41Y45,SLICE_X40Y43,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[41],FDRE,FDRE,SLICE_X42Y46,SLICE_X41Y44,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[42],FDRE,FDRE,SLICE_X42Y46,SLICE_X41Y44,SLICEM.BFF,SLICEL.BFF,True,True
state_count_reg[43],FDRE,FDRE,SLICE_X42Y46,SLICE_X41Y44,SLICEM.CFF,SLICEL.CFF,True,True
state_count_reg[44],FDRE,FDRE,SLICE_X42Y46,SLICE_X41Y44,SLICEM.DFF,SLICEL.DFF,True,True
