label,seq,row_index,phase,phase_name,event_index,fifo_byte,fifo_empty,fifo_full,ro_en
smoke_run01_fixed_decode,302,15,1,warmup,2,38,0,1,1
smoke_run01_fixed_decode,303,15,1,warmup,3,12,0,1,1
smoke_run01_fixed_decode,304,15,2,send,0,45,0,1,1
smoke_run01_fixed_decode,305,15,2,send,1,192,0,1,1
smoke_run01_fixed_decode,306,15,2,send,2,193,0,1,1
smoke_run01_fixed_decode,307,15,2,send,3,0,0,1,1
smoke_run01_fixed_decode,308,15,2,send,4,79,0,1,1
smoke_run01_fixed_decode,309,15,2,send,5,203,0,1,1
smoke_run01_fixed_decode,310,15,2,send,6,17,0,1,1
smoke_run01_fixed_decode,311,15,2,send,7,143,0,1,1
smoke_run01_fixed_decode,312,15,2,send,8,154,0,1,1
smoke_run01_fixed_decode,313,15,2,send,9,113,0,1,1
smoke_run01_fixed_decode,314,15,2,send,10,11,0,1,1
smoke_run01_fixed_decode,315,15,2,send,11,48,0,1,1
smoke_run01_fixed_decode,316,15,2,send,12,54,0,1,1
smoke_run01_fixed_decode,317,15,2,send,13,56,0,1,1
smoke_run01_fixed_decode,318,15,2,send,14,221,0,1,1
smoke_run01_fixed_decode,319,15,2,send,15,2,0,1,1
smoke_run01_fixed_decode,320,16,1,warmup,0,165,0,1,1
smoke_run01_fixed_decode,321,16,1,warmup,1,164,0,1,1
smoke_run01_fixed_decode,322,16,1,warmup,2,80,0,1,1
smoke_run01_fixed_decode,323,16,1,warmup,3,0,0,1,1
smoke_run01_fixed_decode,324,16,2,send,0,52,0,1,1
smoke_run01_fixed_decode,325,16,2,send,1,68,0,1,1
smoke_run01_fixed_decode,326,16,2,send,2,146,0,1,1
smoke_run01_fixed_decode,327,16,2,send,3,100,0,1,1
smoke_run01_fixed_decode,328,16,2,send,4,131,0,1,1
smoke_run01_fixed_decode,329,16,2,send,5,156,0,1,1
smoke_run01_fixed_decode,330,16,2,send,6,134,0,1,1
smoke_run01_fixed_decode,331,16,2,send,7,221,0,1,1
smoke_run01_fixed_decode,332,16,2,send,8,14,0,1,1
smoke_run01_fixed_decode,333,16,2,send,9,0,0,1,1
smoke_run01_fixed_decode,334,16,2,send,10,156,0,1,1
smoke_run01_fixed_decode,335,16,2,send,11,0,0,1,1
smoke_run01_fixed_decode,336,16,2,send,12,164,0,1,1
smoke_run01_fixed_decode,337,16,2,send,13,0,0,1,1
smoke_run01_fixed_decode,338,16,2,send,14,22,0,1,1
smoke_run01_fixed_decode,339,16,2,send,15,52,0,1,1
smoke_run01_fixed_decode,340,17,1,warmup,0,134,0,1,1
smoke_run01_fixed_decode,341,17,1,warmup,1,101,0,1,1
smoke_run01_fixed_decode,342,17,1,warmup,2,205,0,1,1
smoke_run01_fixed_decode,343,17,1,warmup,3,18,0,1,1
smoke_run01_fixed_decode,344,17,2,send,0,12,0,1,1
smoke_run01_fixed_decode,345,17,2,send,1,144,0,1,1
smoke_run01_fixed_decode,346,17,2,send,2,64,0,1,1
smoke_run01_fixed_decode,347,17,2,send,3,12,0,1,1
smoke_run01_fixed_decode,348,17,2,send,4,225,0,1,1
smoke_run01_fixed_decode,349,17,2,send,5,64,0,1,1
smoke_run01_fixed_decode,350,17,2,send,6,96,0,1,1
smoke_run01_fixed_decode,351,17,2,send,7,59,0,1,1
smoke_run01_fixed_decode,352,17,2,send,8,49,0,1,1
smoke_run01_fixed_decode,353,17,2,send,9,180,0,1,1
smoke_run01_fixed_decode,354,17,2,send,10,54,0,1,1
smoke_run01_fixed_decode,355,17,2,send,11,56,0,1,1
smoke_run01_fixed_decode,356,17,2,send,12,200,0,1,1
smoke_run01_fixed_decode,357,17,2,send,13,54,0,1,1
smoke_run01_fixed_decode,358,17,2,send,14,141,0,1,1
smoke_run01_fixed_decode,359,17,2,send,15,99,0,1,1
smoke_run01_fixed_decode,360,18,1,warmup,0,129,0,1,1
smoke_run01_fixed_decode,361,18,1,warmup,1,145,0,1,1
smoke_run01_fixed_decode,362,18,1,warmup,2,38,0,1,1
smoke_run01_fixed_decode,363,18,1,warmup,3,77,0,1,1
