board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro5_board2_sync.payload,5,except_data_ro,5,0.588033000,0.088033000,0.088033000,-0.176066000,0.766030975,642,0.642000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro6_board2_sync.payload,5,except_data_ro,6,0.587773000,0.087773000,0.087773000,-0.175546000,0.766669006,694,0.694000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro7_board2_sync.payload,5,except_data_ro,7,0.502997000,0.002997000,0.002997000,-0.005994000,0.991378299,572,0.572000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_all640_board2_sync.payload,10,all640,all,0.360614000,-0.139386000,0.139386000,0.278772000,0.645240940,794,0.206000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro0_board2_sync.payload,10,data_ro,0,0.211805000,-0.288195000,0.288195000,0.576390000,0.343375497,949,0.051000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro1_board2_sync.payload,10,data_ro,1,0.567900000,0.067900000,0.067900000,-0.135800000,0.816291183,678,0.678000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro2_board2_sync.payload,10,data_ro,2,0.315203000,-0.184797000,0.184797000,0.369594000,0.546251713,811,0.189000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro3_board2_sync.payload,10,data_ro,3,0.451911000,-0.048089000,0.048089000,0.096178000,0.867517914,824,0.824000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro4_board2_sync.payload,10,data_ro,4,0.645136000,0.145136000,0.145136000,-0.290272000,0.632324770,785,0.785000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro5_board2_sync.payload,10,data_ro,5,0.340743000,-0.159257000,0.159257000,0.318514000,0.601087110,836,0.164000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro6_board2_sync.payload,10,data_ro,6,0.444532000,-0.055468000,0.055468000,0.110936000,0.848224293,839,0.161000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_data_ro7_board2_sync.payload,10,data_ro,7,0.565064000,0.065064000,0.065064000,-0.130128000,0.823513816,726,0.726000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_except_data_ro0_board2_sync.payload,10,except_data_ro,0,0.500015000,0.000015000,0.000015000,-0.000030000,0.999956720,560,0.440000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_except_data_ro1_board2_sync.payload,10,except_data_ro,1,0.667952000,0.167952000,0.167952000,-0.335904000,0.582183663,722,0.722000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_except_data_ro2_board2_sync.payload,10,except_data_ro,2,0.502798000,0.002798000,0.002798000,-0.005596000,0.991949184,554,0.446000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_except_data_ro3_board2_sync.payload,10,except_data_ro,3,0.537544000,0.037544000,0.037544000,-0.075088000,0.895545245,589,0.589000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w10_except_data_ro4_board2_sync.payload,10,except_data_ro,4,0.518335000,0.018335000,0.018335000,-0.036670000,0.948043281,570,0.570000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
